date,aprobacion_boric,desaprobacion_boric
2022-03-20,0.5,0.2
2022-03-27,0.5,0.3
2022-04-03,0.45,0.35
2022-04-10,0.44,0.41
2022-04-17,0.4,0.5
2022-04-24,0.36,0.53
2022-05-01,0.35,0.53
2022-05-08,0.38,0.53
2022-05-15,0.39,0.5
2022-05-22,0.38,0.5
2022-05-29,0.36,0.57
2022-06-05,0.44,0.47
2022-06-12,0.44,0.48
2022-06-19,0.4,0.54
2022-06-26,0.34,0.59
2022-07-03,0.33,0.62
2022-07-10,0.36,0.58
2022-07-17,0.38,0.58
2022-07-24,0.4,0.55
2022-07-31,0.37,0.56
2022-08-07,0.35,0.56
2022-08-14,0.38,0.55
2022-08-21,0.37,0.56
2022-08-28,0.39,0.56
2022-09-04,0.38,0.54
2022-09-11,0.33,0.6
2022-09-18,0.38,0.57
2022-09-25,0.39,0.56
2022-10-02,0.35,0.58
2022-10-09,0.33,0.6
2022-10-16,0.27,0.65
2022-10-23,0.26,0.66
2022-10-30,0.26,0.68
2022-11-06,0.25,0.69
2022-11-13,0.33,0.58
2022-11-20,0.31,0.61
2022-11-27,0.29,0.63
2022-12-04,0.29,0.65
2022-12-11,0.31,0.65
2022-12-18,0.3,0.64
2022-12-25,0.3,0.66
2023-01-01,0.3,0.58
2023-01-08,0.27,0.7
2023-01-15,0.25,0.7
2023-01-22,0.27,0.67
2023-01-29,0.28,0.66
2023-02-05,0.27,0.67
2023-02-12,0.3,0.65
2023-02-19,0.31,0.64
2023-02-26,0.32,0.61
2023-03-05,0.35,0.6
2023-03-12,0.32,0.62
2023-03-19,0.35,0.6
2023-03-26,0.3,0.65
2023-04-02,0.29,0.63
2023-04-09,0.3,0.65
2023-04-16,0.3,0.64
2023-04-23,0.29,0.65
2023-04-30,0.3,0.62
2023-05-07,0.28,0.66
2023-05-14,0.3,0.65
2023-05-21,0.3,0.62
2023-05-28,0.32,0.61
2023-06-04,0.41,0.51
2023-06-11,0.33,0.62
2023-06-18,0.3,0.65
2023-06-25,0.28,0.65
2023-07-02,0.28,0.67
2023-07-09,0.29,0.64
2023-07-16,0.31,0.63
2023-07-23,0.32,0.63
2023-07-30,0.28,0.65
2023-08-06,0.3,0.64
2023-08-13,0.28,0.66
2023-08-20,0.27,0.69
2023-08-27,0.28,0.67
2023-09-03,0.29,0.65
2023-09-10,0.28,0.67
2023-09-17,0.31,0.64
2023-09-24,0.32,0.65
2023-10-01,0.31,0.63
2023-10-08,0.34,0.61
2023-10-15,0.32,0.61
2023-10-22,0.31,0.63
2023-10-29,0.33,0.6
2023-11-05,0.37,0.57
2023-11-12,0.33,0.59
2023-11-19,0.31,0.65
2023-11-26,0.3,0.65
2023-12-03,0.33,0.62
2023-12-10,0.32,0.64
2023-12-17,0.31,0.61
2023-12-24,0.33,0.6
2023-12-31,0.33,0.6
2024-01-07,0.31,0.64
2024-01-14,0.32,0.61
2024-01-21,0.29,0.62
2024-01-28,0.32,0.61
2024-02-04,0.33,0.62
2024-02-11,0.31,0.61
2024-02-18,0.33,0.6
2024-02-25,0.35,0.61
2024-03-03,0.28,0.66
2024-03-10,0.27,0.66
2024-03-17,0.31,0.63
2024-03-24,0.34,0.61
2024-03-31,0.33,0.64
2024-04-07,0.33,0.61
2024-04-14,0.3,0.62
2024-04-21,0.32,0.62
2024-04-28,0.3,0.65
2024-05-05,0.24,0.7
2024-05-12,0.26,0.66
2024-05-19,0.28,0.66
2024-05-26,0.3,0.65
2024-06-02,0.31,0.61
2024-06-09,0.32,0.61
2024-06-16,0.34,0.59
2024-06-23,0.36,0.57
2024-06-30,0.34,0.59
2024-07-07,0.35,0.6
2024-07-14,0.35,0.6
2024-07-21,0.31,0.61
2024-07-28,0.31,0.64
2024-08-04,0.35,0.57
2024-08-11,0.37,0.55
2024-08-18,0.37,0.56
2024-08-25,0.34,0.59
2024-09-01,0.35,0.56
2024-09-08,0.32,0.58
2024-09-15,0.32,0.61
2024-09-22,0.35,0.58
2024-09-29,0.34,0.57
2024-10-06,0.34,0.57
2024-10-13,0.32,0.6
2024-10-20,0.27,0.65
2024-10-27,0.25,0.67
2024-11-03,0.25,0.68
2024-11-10,0.28,0.64
2024-11-17,0.28,0.65
2024-11-24,0.26,0.67
2024-12-01,0.29,0.63
2024-12-08,0.32,0.62
2024-12-15,0.29,0.62
2024-12-22,0.33,0.59
2024-12-29,0.3,0.6
2025-01-05,0.28,0.62
2025-01-12,0.31,0.61
2025-01-19,0.33,0.62
2025-01-26,0.31,0.64
2025-02-02,0.32,0.63
2025-02-09,0.34,0.62
2025-02-16,0.32,0.62
2025-02-23,0.29,0.64
2025-03-02,0.29,0.64
2025-03-09,0.28,0.65
2025-03-16,0.28,0.67
2025-03-23,0.32,0.62
2025-03-30,0.28,0.65
2025-04-06,0.31,0.66
2025-04-13,0.27,0.69
2025-04-20,0.32,0.66
2025-04-27,0.29,0.67
2025-05-04,0.31,0.64
