date,prediccion_aprobacion,prediccion_desaprobacion,indice_negatividad,tweets_negativos,tweets_neutros,tweets_positivos,total_tweets,porcentaje_tweets_negativos
2022-04-03,0.44199234,0.40479216,0.2976953243570668,5,15,1,21,0.23809523809523808
2022-04-04,0.4366494,0.42494094,0.3130458440435559,7,10,2,19,0.3684210526315789
2022-04-05,0.43279967,0.44388378,0.3878240267347012,9,7,5,21,0.42857142857142855
2022-04-06,0.43561447,0.4395189,0.3173811551183462,6,9,5,20,0.3
2022-04-07,0.4351044,0.43269718,0.5266772803096544,12,8,1,21,0.5714285714285714
2022-04-08,0.42972633,0.44902676,0.525733844563365,12,7,1,20,0.6
2022-04-09,0.43771738,0.44030514,0.2975054466062122,4,13,1,18,0.2222222222222222
2022-04-10,0.4372133,0.44242385,0.4421276928562867,8,10,1,19,0.42105263157894735
2022-04-11,0.4202798,0.45053935,0.4676487243601254,9,11,1,21,0.42857142857142855
2022-04-12,0.40114835,0.46742162,0.5499010808943283,14,5,2,21,0.6666666666666666
2022-04-13,0.4047403,0.4690048,0.4986432634648822,11,10,0,21,0.5238095238095238
2022-04-14,0.40074423,0.4627304,0.4151624660938978,9,11,0,20,0.45
2022-04-15,0.40466794,0.4718697,0.5795712653133605,11,7,0,18,0.6111111111111112
2022-04-16,0.39618114,0.49788603,0.4150351892624582,9,11,1,21,0.42857142857142855
2022-04-17,0.3943689,0.5026521,0.5283315503283551,12,5,2,19,0.631578947368421
2022-04-18,0.35578364,0.5330289,0.4801957075084959,12,8,1,21,0.5714285714285714
2022-04-19,0.35620588,0.5287983,0.449343911698088,9,9,2,20,0.45
2022-04-20,0.35375246,0.5322211,0.4043960754005682,9,11,1,21,0.42857142857142855
2022-04-21,0.35727638,0.5297608,0.5133475719818047,13,8,0,21,0.6190476190476191
2022-04-22,0.35942373,0.5334477,0.3616907180597384,7,10,4,21,0.3333333333333333
2022-04-23,0.35312662,0.53813213,0.4197010879537889,11,8,2,21,0.5238095238095238
2022-04-24,0.3523663,0.54486233,0.4603908681077883,10,9,1,20,0.5
2022-04-25,0.35475895,0.53632665,0.4748597087240533,8,9,2,19,0.42105263157894735
2022-04-26,0.3523692,0.5344312,0.6010532655886242,13,7,1,21,0.6190476190476191
2022-04-27,0.34985146,0.5376275,0.4484678199958233,10,8,3,21,0.47619047619047616
2022-04-28,0.3522488,0.5313753,0.4649792908151683,11,5,3,19,0.5789473684210527
2022-04-29,0.3541946,0.5380306,0.3680608708943639,7,11,3,21,0.3333333333333333
2022-04-30,0.3486404,0.52595776,0.384768204158172,7,10,3,20,0.35
2022-05-01,0.34411514,0.5358878,0.5505978895262593,15,4,2,21,0.7142857142857143
2022-05-02,0.36611098,0.5381,0.6673144467175007,16,4,0,20,0.8
2022-05-03,0.37177286,0.536268,0.5050196090624446,11,10,0,21,0.5238095238095238
2022-05-04,0.38025934,0.53622514,0.4335647587265287,10,9,2,21,0.47619047619047616
2022-05-05,0.37659287,0.5289757,0.4626214191140163,9,11,1,21,0.42857142857142855
2022-05-06,0.3781595,0.53477824,0.4864343018049285,12,8,1,21,0.5714285714285714
2022-05-07,0.38304105,0.5399047,0.5085314551368356,10,7,3,20,0.5
2022-05-08,0.38425145,0.5342773,0.3830198931850885,6,10,3,19,0.3157894736842105
2022-05-09,0.38408586,0.518029,0.4693319607526064,11,9,0,20,0.55
2022-05-10,0.39061153,0.5076806,0.3719394331013685,5,12,2,19,0.2631578947368421
2022-05-11,0.38317248,0.52876747,0.381338669732213,6,12,2,20,0.3
2022-05-12,0.38814858,0.53175855,0.6471975853755361,16,4,1,21,0.7619047619047619
2022-05-13,0.39064667,0.5216163,0.6158554906025528,15,4,1,20,0.75
2022-05-14,0.38312304,0.5284913,0.5873194089625031,14,5,1,20,0.7
2022-05-15,0.39117372,0.506509,0.5437010399997234,13,7,0,20,0.65
2022-05-16,0.3796539,0.5138941,0.4201793259009719,7,12,1,20,0.35
2022-05-17,0.37860864,0.5188585,0.3920293512443701,8,12,1,21,0.38095238095238093
2022-05-18,0.37856734,0.51429635,0.4698100210655303,10,10,1,21,0.47619047619047616
2022-05-19,0.37644985,0.5193046,0.3536097085103392,6,12,2,20,0.3
2022-05-20,0.3755387,0.502629,0.5704516569329869,14,4,3,21,0.6666666666666666
2022-05-21,0.37778005,0.5054225,0.4128476972913458,10,8,3,21,0.47619047619047616
2022-05-22,0.38003445,0.5129027,0.4449889553444726,11,9,1,21,0.5238095238095238
2022-05-23,0.353964,0.5207289,0.2839197457014095,4,14,3,21,0.19047619047619047
2022-05-24,0.36228475,0.545021,0.3824787528387138,8,11,2,21,0.38095238095238093
2022-05-25,0.35665056,0.5472594,0.5255369173460885,9,9,1,19,0.47368421052631576
2022-05-26,0.3581231,0.5342057,0.3082808620296418,5,14,1,20,0.25
2022-05-27,0.35396752,0.55750316,0.3658090970037799,9,7,3,19,0.47368421052631576
2022-05-28,0.3532344,0.56059545,0.3674514045938849,8,9,3,20,0.4
2022-05-29,0.35292315,0.5651487,0.4014746379107237,10,9,2,21,0.47619047619047616
2022-05-30,0.40171394,0.53292805,0.4695712436456233,11,8,1,20,0.55
2022-05-31,0.4186315,0.524472,0.3299727423027866,6,15,0,21,0.2857142857142857
2022-06-01,0.4403214,0.52139044,0.3106391980312765,6,12,2,20,0.3
2022-06-02,0.4337113,0.4985964,0.2737120874226093,5,14,2,21,0.23809523809523808
2022-06-03,0.43782717,0.5014256,0.2420312976908115,2,16,3,21,0.09523809523809523
2022-06-04,0.43656608,0.49381608,0.3684482745648849,8,11,2,21,0.38095238095238093
2022-06-05,0.43493485,0.47171524,0.3837286368012428,8,11,1,20,0.4
2022-06-06,0.44375417,0.4706677,0.276678575735007,6,12,3,21,0.2857142857142857
2022-06-07,0.44090986,0.47742632,0.3768266042694449,7,11,2,20,0.35
2022-06-08,0.43661192,0.47686303,0.3699785996051061,6,12,3,21,0.2857142857142857
